Name,Team,Number,Position,Height,Age,Weight,College,Salary
Drew Gooden,Washington Wizards,90,PF,82,34,250,Kansas,3300000
Marcin Gortat,Washington Wizards,13,C,83,32,240,,11217391
JJ Hickson,Washington Wizards,21,C,81,27,242,North Carolina State,273038
Nene Hilario,Washington Wizards,42,C,83,33,250,,13000000
Markieff Morris,Washington Wizards,5,PF,82,26,245,Kansas,8000000
Kelly Oubre Jr.,Washington Wizards,12,SF,79,20,205,Kansas,1920240
Otto Porter Jr.,Washington Wizards,22,SF,80,23,198,Georgetown,4662960
Ramon Sessions,Washington Wizards,7,PG,75,30,190,Nevada,2170465
Garrett Temple,Washington Wizards,17,SG,78,30,195,LSU,1100602
Marcus Thornton,Washington Wizards,15,SF,76,29,205,LSU,200600
John Wall,Washington Wizards,2,PG,76,25,195,Kentucky,15851950
Darrell Arthur,Denver Nuggets,0,PF,81,28,235,Kansas,2814000
D.J. Augustin,Denver Nuggets,12,PG,73,28,183,Texas,3000000
Will Barton,Denver Nuggets,5,SF,78,25,175,Memphis,3533333
Wilson Chandler,Denver Nuggets,21,SF,80,29,225,DePaul,10449438
Kenneth Faried,Denver Nuggets,35,PF,80,26,228,Morehead State,11235955
Danilo Gallinari,Denver Nuggets,8,SF,82,27,225,,14000000
Gary Harris,Denver Nuggets,14,SG,76,21,210,Michigan State,1584480
Nikola Jokic,Denver Nuggets,15,C,82,21,250,,1300000
Joffrey Lauvergne,Denver Nuggets,77,C,83,24,220,,1709719
Mike Miller,Denver Nuggets,3,SG,80,36,218,Florida,947276
Emmanuel Mudiay,Denver Nuggets,0,PG,77,20,200,,3102240
Jameer Nelson,Denver Nuggets,1,PG,73,34,190,Saint Joseph's,4345000
Jusuf Nurkic,Denver Nuggets,23,C,85,21,280,,1842000
JaKarr Sampson,Denver Nuggets,9,SG,81,23,214,St. John's,258489
Axel Toupane,Denver Nuggets,6,SG,79,23,210,,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,82,28,240,,3950001
Gorgui Dieng,Minnesota Timberwolves,5,C,83,26,241,Louisville,1474440
Kevin Garnett,Minnesota Timberwolves,21,PF,83,40,240,,8500000
Tyus Jones,Minnesota Timberwolves,1,PG,74,20,195,Duke,1282080
Zach LaVine,Minnesota Timberwolves,8,PG,77,21,189,UCLA,2148360
Shabazz Muhammad,Minnesota Timberwolves,15,SF,78,23,223,UCLA,2056920
Adreian Payne,Minnesota Timberwolves,33,PF,82,25,237,Michigan State,1938840
Nikola Pekovic,Minnesota Timberwolves,14,C,83,30,307,,12100000
Tayshaun Prince,Minnesota Timberwolves,12,SF,81,36,212,Kentucky,947276
Ricky Rubio,Minnesota Timberwolves,9,PG,76,25,194,,12700000
Damjan Rudez,Minnesota Timberwolves,10,SF,81,29,230,,1149500
Greg Smith,Minnesota Timberwolves,4,PF,82,25,250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,85,20,244,Kentucky,5703600
Andrew Wiggins,Minnesota Timberwolves,22,SG,80,21,199,Kansas,5758680
Steven Adams,Oklahoma City Thunder,12,C,85,22,255,Pittsburgh,2279040
Nick Collison,Oklahoma City Thunder,4,PF,82,35,255,Kansas,3750000
Kevin Durant,Oklahoma City Thunder,35,SF,81,27,240,Texas,20158622
Randy Foye,Oklahoma City Thunder,6,SG,76,32,213,Villanova,3135000
Josh Huestis,Oklahoma City Thunder,34,SF,79,24,230,Stanford,1140240
Serge Ibaka,Oklahoma City Thunder,9,PF,82,26,245,,12250000
Enes Kanter,Oklahoma City Thunder,11,C,83,24,245,Kentucky,16407500
Mitch McGary,Oklahoma City Thunder,33,PF,82,24,255,Michigan,1463040
Nazr Mohammed,Oklahoma City Thunder,13,C,82,38,250,Kentucky,222888
Anthony Morrow,Oklahoma City Thunder,2,SG,77,30,210,Georgia Tech,3344000
Cameron Payne,Oklahoma City Thunder,22,PG,75,21,185,Murray State,2021520
Andre Roberson,Oklahoma City Thunder,21,SG,79,24,210,Colorado,1210800
Kyle Singler,Oklahoma City Thunder,5,SF,80,28,228,Duke,4500000
Dion Waiters,Oklahoma City Thunder,3,SG,76,24,220,Syracuse,5138430
Russell Westbrook,Oklahoma City Thunder,0,PG,75,27,200,UCLA,16744218
Cliff Alexander,Portland Trail Blazers,34,PF,80,20,240,Kansas,525093
Al-Farouq Aminu,Portland Trail Blazers,8,SF,81,25,215,Wake Forest,8042895
Pat Connaughton,Portland Trail Blazers,5,SG,77,23,206,Notre Dame,625093
Allen Crabbe,Portland Trail Blazers,23,SG,78,24,210,California,947276
Ed Davis,Portland Trail Blazers,17,C,82,27,240,North Carolina,6980802
Maurice Harkless,Portland Trail Blazers,4,SF,81,23,215,St. John's,2894059
Gerald Henderson,Portland Trail Blazers,9,SG,77,28,215,Duke,6000000
Chris Kaman,Portland Trail Blazers,35,C,85,34,265,Central Michigan,5016000
Meyers Leonard,Portland Trail Blazers,11,PF,85,24,245,Illinois,3075880
Damian Lillard,Portland Trail Blazers,0,PG,75,25,195,Weber State,4236287
C.J. McCollum,Portland Trail Blazers,3,SG,76,24,200,Lehigh,2525160
Luis Montero,Portland Trail Blazers,44,SG,79,23,185,Westchester CC,525093
Mason Plumlee,Portland Trail Blazers,24,C,83,26,235,Duke,1415520
Brian Roberts,Portland Trail Blazers,2,PG,73,30,173,Dayton,2854940
Noah Vonleh,Portland Trail Blazers,21,PF,81,20,240,Indiana,2637720
Trevor Booker,Utah Jazz,33,PF,80,28,228,Clemson,4775000
Trey Burke,Utah Jazz,3,PG,73,23,191,Michigan,2658240
Alec Burks,Utah Jazz,10,SG,78,24,214,Colorado,9463484
Dante Exum,Utah Jazz,11,PG,78,20,190,,3777720
Derrick Favors,Utah Jazz,15,PF,82,24,265,Georgia Tech,12000000
Rudy Gobert,Utah Jazz,27,C,85,23,245,,1175880
Gordon Hayward,Utah Jazz,20,SF,80,26,226,Butler,15409570
Rodney Hood,Utah Jazz,5,SG,80,23,206,Duke,1348440
Joe Ingles,Utah Jazz,2,SF,80,28,226,,2050000
Chris Johnson,Utah Jazz,23,SF,78,26,206,Dayton,981348
Trey Lyles,Utah Jazz,41,PF,82,20,234,Kentucky,2239800
Shelvin Mack,Utah Jazz,8,PG,75,26,203,Butler,2433333
Raul Neto,Utah Jazz,25,PG,73,24,179,,900000
Tibor Pleiss,Utah Jazz,21,C,87,26,256,,2900000
Jeff Withey,Utah Jazz,24,C,85,26,231,Kansas,947276
